Running seek with root {-3,5,8,8,} and ceiling 2147483647
Time: Sat Apr 18 20:07:58 2015

In seek
Running fuchsian
23622320040th iteration: 5618112677 4343449661 3397448 4084650164
23837068404th iteration: 2477302781 4338916061 4568041160 232712468
24051816768th iteration: 2205677237 2256655157 299254676 880051220
24266565132th iteration: 712093277 4212605 836830256 1031320652
24481313496th iteration: 167774621 124968773 9320 174967616
24696061860th iteration: 499088133 541172061 296679120 24932556
24910810224th iteration: 6600792053 2816245637 793939808 6807315932
25125558588th iteration: 4216289213 1895850533 406835132 4092232352
25340306952th iteration: 1975847661 1768240965 7483892592 7482862092
25555055316th iteration: 2288266245 2675461293 3319139988 15107784
25769803680th iteration: 4574517 1953121149 1843230240 1367454024
25984552044th iteration: 4355018453 429805325 4476716348 2019845084
26199300408th iteration: 6978278189 2499085469 7068278672 1125249740
26414048772th iteration: 3260619501 18493797 3559173000 2428759392
26628797136th iteration: 3878799965 145137629 3474982124 2199171152
26843545500th iteration: 193552541 237978557 2114948 288210404
27058293864th iteration: 4264155701 4033481549 5527673864 2110496
27273042228th iteration: 2250595677 891587613 2300787756 309077904
27487790592th iteration: 2485943237 2702294501 148409492 1419406760
27702538956th iteration: 2176255997 1710994277 7750059248 7752386348
27917287320th iteration: 4288350509 9507341 6161416076 5324884784
28132035684th iteration: 1891533189 5136062709 5060497212 762533760
28346784048th iteration: 2569973525 299954189 4949101232 4709547884
28561532412th iteration: 1242885317 1464699605 2207144 1770584564
28776280776th iteration: 5486347781 4472168333 30504716 3741934640
28991029140th iteration: 2134118637 952916493 2042933232 205333068
29205777504th iteration: 1774752221 113708525 2787067712 3116871032
29420525868th iteration: 4856440877 5043922517 2181118760 528340736
29635274232th iteration: 3382531661 4022683349 51295412 2600473928
29850022596th iteration: 6407393525 1929235949 6427609724 1304865632
30064770960th iteration: 6568607453 1709950109 1575325448 6567895700
30279519324th iteration: 4192666797 5601535149 6111206256 26727948
30494267688th iteration: 1402541 1092767477 946671560 761897012
30709016052th iteration: 2115199181 2814003629 12189356 3076153724
30923764416th iteration: 629801085 5302799253 5266187364 2210566008
31138512780th iteration: 4214661413 752289605 4183529504 1387434968
31353261144th iteration: 1186631277 834819909 1092107820 790224
31568009508th iteration: 2373197381 19301 2097501728 1669540220
31782757872th iteration: 3228838845 2881461 3432807456 2424673608
31997506236th iteration: 634248909 5411592525 2334260388 5572741368
32212254600th iteration: 4239753093 935895717 4237968336 1189877004
32427002964th iteration: 703048061 1259756429 80526236 1361860364
32641751328th iteration: 3034160045 396726677 6037361744 5625212504
32856499692th iteration: 5131175661 34736133 3771688800 5553587676
33071248056th iteration: 4455734357 434061533 4565583512 2072095568
33285996420th iteration: 4242980117 6033503021 5425055960 1333712
33500744784th iteration: 4964361485 272329613 4863211928 2686453664
33715493148th iteration: 6187526309 6074899349 2406302732 829716080
33930241512th iteration: 2482978781 1279135973 2356441016 154156100
34144989876th iteration: 6997223829 2304408165 7047948228 1270534488
34359738240th iteration: 1183771797 6620863461 2205494760 6673417872
34574486604th iteration: 7467239837 1504605269 2255560640 7447225724
34789234968th iteration: 130173581 3146398541 4556839220 5222027828
35003983332th iteration: 5429811981 2805527277 5022932592 320055240
35218731696th iteration: 2175269021 163613 1565365292 1726153724
35433480060th iteration: 3019951989 1444779693 236174256 2849512812
35648228424th iteration: 27792437 2422311917 3606061340 3303409916
35862976788th iteration: 3023140853 2758388573 25428812 2020234892
36077725152th iteration: 561261101 397887005 582428 536487296
36292473516th iteration: 834934829 503065805 21137132 738662204
36507221880th iteration: 3552691557 3906902349 2058060 4942225164
36721970244th iteration: 262277733 5416398093 5918813460 3263578824
36936718608th iteration: 1742805141 17284317 1449737664 1148732328
37151466972th iteration: 3683980709 320357597 1703843936 3501870908
37366215336th iteration: 200787869 3743266661 3655623284 2033381576
37580963700th iteration: 2390186277 2366198709 3170623068 396
37795712064th iteration: 3161872341 153280389 1906982796 3459908784
38010460428th iteration: 5475413597 977412509 1826028608 5519144636
38225208792th iteration: 5561595173 5561196365 1330416248 1451377904
38439957156th iteration: 3544555709 350762237 3400355204 1566599780
38654705520th iteration: 3436089021 2542828005 3591731376 4631928
38869453884th iteration: 5259353933 111245 5848566968 4118739044
39084202248th iteration: 1245941861 66769541 2134814300 1889734028
39298950612th iteration: 1365337613 2889263909 2960476712 270074816
39513698976th iteration: 5495992805 4075041653 5694157016 622496
39728447340th iteration: 3435770213 6316007669 6240393488 346048940
39943195704th iteration: 400948613 4501438949 2202050828 4710493520
40157944068th iteration: 3487112309 5847023309 157838360 5140116452
40372692432th iteration: 5393964933 5370668445 1053020784 1667423928
40587440796th iteration: 4257334821 398591013 4288741596 1985493900
40802189160th iteration: 5269558085 3833333 3827211464 4073292308
41016937524th iteration: 391127117 4162839317 1874838956 3978939500
41231685888th iteration: 99937325 2315551349 2576589524 1451996072
41446434252th iteration: 6346886493 2966787045 6023775504 534908748
41661182616th iteration: 7124754501 1405801461 2185103208 7096227060
41875930980th iteration: 3968050541 4342823237 36988988 2901085184
42090679344th iteration: 1480409117 3573441053 3464492972 415468688
42305427708th iteration: 3308566181 3912930413 680 4679591156
42520176072th iteration: 66736053 180010701 182044896 27364680
42734924436th iteration: 5964493101 72357765 5375132808 3887459796
42949672800th iteration: 1858372853 4793014853 673197200 4844880104
43164421164th iteration: 2347231805 2698153253 3299971316 8456
43379169528th iteration: 2275113389 238689917 2190965516 983257628
43593917892th iteration: 4547613341 3625050317 3245949572 3498680
43808666256th iteration: 765912869 1447065053 1538176448 105769820
44023414620th iteration: 3503614061 86259701 4048632644 2487286904
44238162984th iteration: 3601133 4260304085 3729548516 5256702836
44452911348th iteration: 16522613 3447708989 3947187500 4939127888
44667659712th iteration: 2178356501 772176485 5545307768 5662553216
44882408076th iteration: 4710713301 4534129557 17160 6154868592
45097156440th iteration: 2037122669 12948413 1374187136 1708891832
45311904804th iteration: 50628765 3959616477 5928357144 5416246944
45526653168th iteration: 1441973 3693387245 4471110968 3162457604
45741401532th iteration: 1105463645 2195245541 2045873852 143326172
45956149896th iteration: 959502741 104205885 1741339272 1813470612
46170898260th iteration: 4578305549 4509910949 1890260900 548189432
46385646624th iteration: 1389647525 29 1826544332 1352099984
46600394988th iteration: 3317305773 671925 3589359744 2535456168
46815143352th iteration: 24893 4368388109 3214161080 3348566528
47029891716th iteration: 538428365 990851981 931673492 49095752
47244640080th iteration: 2988909 2571394485 3421662024 3640956852
47459388444th iteration: 1415123205 3069279693 3200046984 316158228
47674136808th iteration: 1470940509 772939149 4413306876 4376684256
47888885172th iteration: 3474679317 3685146189 243116184 1859881380
48103633536th iteration: 6074284733 4376304509 37808 4814754440
48318381900th iteration: 5953304645 6421677149 3291767912 390895424
48533130264th iteration: 2013593069 952811453 196143260 2108326208
48747878628th iteration: 16497117 1642856613 2432422548 2225069892
