Running seek with root {-2,3,6,7,} and ceiling 1000000000
Time: Sun Apr 19 14:39:47 2015

In seek
Running fuchsian
10500000000th iteration: 3067582062 311752059 1342214670 2947969839
10600000000th iteration: 251553298 358337347 410854462 9058063
10700000000th iteration: 2524851798 1793998491 2052639846 931695
10800000000th iteration: 2861191386 1306008123 2734553202 259681839
10900000000th iteration: 2991742186 2960626243 1026635266 500425975
11000000000th iteration: 160482 2847713403 2005627242 2569269903
11100000000th iteration: 2031846514 2353468411 1655980702 102223
11200000000th iteration: 2806800118 1074098035 407526298 2855912239
11300000000th iteration: 1975866334 1588296787 11490814 2333600695
11400000000th iteration: 1098413014 1499761891 26516614 1726242391
11500000000th iteration: 399428266 182014747 390192082 37644295
11600000000th iteration: 1827157134 81390963 2697153918 3055631295
11700000000th iteration: 2357290270 139868419 2442704878 1296950143
11800000000th iteration: 879172362 161631675 1884275622 1803608751
11900000000th iteration: 2078607318 2352528675 2913798534 576663
12000000000th iteration: 2100472882 1153522315 2191941466 128059327
12100000000th iteration: 677304498 11404083 488903034 764755575
12200000000th iteration: 323153146 1119816475 2702131606 2673774943
12300000000th iteration: 1927632622 1215239803 32490382 1666074463
12400000000th iteration: 1352973286 239537659 2881348822 2732692783
12500000000th iteration: 333381846 25632531 601910010 543984183
12600000000th iteration: 1657551190 2700994267 58257766 2347238767
12700000000th iteration: 2426650942 2575261099 8394094 1791686695
12800000000th iteration: 106792938 1035015435 1807486374 1965349863
12900000000th iteration: 347471662 1050985003 2670143938 2607318727
13000000000th iteration: 865950138 153202419 1841546358 1752107295
13100000000th iteration: 808238190 267363 1111665474 863989983
13200000000th iteration: 829365082 190497787 1815027958 1889646103
13300000000th iteration: 2626150194 2259886779 1633512510 50128887
13400000000th iteration: 2239514470 1504103203 15564406 1883689591
13500000000th iteration: 168476046 90557691 9100674 161796399
13600000000th iteration: 435597634 2311464907 2298812206 733003303
13700000000th iteration: 1941128934 1171805043 1693055370 47699463
13800000000th iteration: 58929010 953480659 890025502 488101759
13900000000th iteration: 291465982 363571 331857502 410943655
14000000000th iteration: 1111215958 2859578179 2879252698 397725655
14100000000th iteration: 83320066 2023921483 1824517306 1128045175
14200000000th iteration: 125764690 1720512187 1831886494 911897599
14300000000th iteration: 474393238 1533490123 1527069334 299127895
