Running seek with root {0,0,1,1,} and ceiling 100000000
Time: Sat Apr 18 16:32:49 2015

In seek
Running fuchsian
10000000th iteration: 0 241932396 174769713 238517361
20000000th iteration: 115033968 77252904 841665 95067153
30000000th iteration: 240487516 92879836 244202929 34246729
40000000th iteration: 81888664 30976 88109809 112935361
50000000th iteration: 59017140 1752 51884457 41507961
60000000th iteration: 139559824 47529820 138281929 23648857
70000000th iteration: 33198556 285957868 118539937 277207489
80000000th iteration: 128804692 189429940 1129969 154475329
90000000th iteration: 65759536 72664 72300601 91673089
100000000th iteration: 931176 103419396 126032913 84709785
110000000th iteration: 97612980 177260088 162303321 7909041
120000000th iteration: 3184 189852988 265736353 254820985
130000000th iteration: 296571484 100801072 299289145 51569329
140000000th iteration: 10039956 182976216 99010545 179245953
150000000th iteration: 4789368 89369376 48112161 85758225
160000000th iteration: 70018428 24168204 176853897 180089721
170000000th iteration: 113210076 244824912 236020329 21752433
180000000th iteration: 97903008 96613176 15312537 34985529
190000000th iteration: 88462740 38103396 90863553 10353081
200000000th iteration: 141059344 2184988 158506657 102082561
210000000th iteration: 117888244 4182292 166531105 192361489
220000000th iteration: 6046144 140873944 156968881 88544641
230000000th iteration: 260549448 147057936 16111161 282444585
240000000th iteration: 175023312 102388344 154779489 5390025
250000000th iteration: 229068244 281324452 1656049 191470825
260000000th iteration: 73128496 3548956 39820969 68316769
270000000th iteration: 21506628 100610436 28984281 100425225
280000000th iteration: 309052752 26559324 293525241 143496033
290000000th iteration: 26441388 200221596 78311505 195904881
300000000th iteration: 260544096 14633100 284574753 151685121
310000000th iteration: 100469440 54741976 6593617 106475857
320000000th iteration: 986832 181741212 124074081 148146465
330000000th iteration: 215667064 6165280 148859617 247084609
340000000th iteration: 55453512 1000464 39668745 62432409
350000000th iteration: 258251668 116956516 24637441 251722105
360000000th iteration: 146019004 187394956 577 136328113
370000000th iteration: 68206504 87227632 123169 62517025
380000000th iteration: 410116 237914692 167889289 227298553
390000000th iteration: 331914888 33042048 146531049 319134705
400000000th iteration: 156574740 207458424 244755657 3517209
410000000th iteration: 57674416 23541400 157131913 155226241
420000000th iteration: 81949096 15102304 167418001 176303689
430000000th iteration: 56624836 267578056 78003433 268088305
440000000th iteration: 229011024 235334712 96048849 28369545
450000000th iteration: 12347244 148088412 245988369 270916545
460000000th iteration: 44386672 2440360 44781169 24438529
470000000th iteration: 27549564 33980784 140625 23458857
480000000th iteration: 202362820 220847944 10599457 119685049
490000000th iteration: 197738568 161206884 1756665 239934873
500000000th iteration: 165398980 1193416 180411457 122034337
510000000th iteration: 229885740 15077532 126028881 245401857
520000000th iteration: 6972984 79435680 146560857 133555209
530000000th iteration: 47930416 19700476 129095329 131139769
540000000th iteration: 234181104 5801064 141525465 207223497
550000000th iteration: 50545840 234721468 234679753 67303129
560000000th iteration: 173257080 5639508 195656793 115694529
570000000th iteration: 132636532 2161924 149642665 95940049
580000000th iteration: 191018100 208434552 9968241 113055897
590000000th iteration: 195423784 202445284 20141905 89605897
600000000th iteration: 0 52666632 67407057 74754921
610000000th iteration: 206459736 236242176 289943145 3273
620000000th iteration: 31144 277542496 271340689 199624681
630000000th iteration: 99276388 101810440 5672113 54740449
640000000th iteration: 235452148 166905976 193696009 44617
650000000th iteration: 13388232 28535616 27056529 2376873
660000000th iteration: 93709924 68651620 102250297 797689
670000000th iteration: 111454744 4599988 161699353 184874305
680000000th iteration: 144666744 238566036 210989361 5757969
690000000th iteration: 180734068 157505812 126719089 85681
700000000th iteration: 4474008 227480532 168025353 266553537
710000000th iteration: 4467792 57862200 94953489 104370249
720000000th iteration: 138364684 144954604 65690737 13379545
730000000th iteration: 787972 69482824 94777225 103363249
740000000th iteration: 7579776 176957388 97898697 159963489
750000000th iteration: 198339328 267442156 9025 202945561
760000000th iteration: 166526472 222828036 1132833 243188409
770000000th iteration: 309011688 88091748 309168705 67050369
780000000th iteration: 181706140 16967824 178910569 83517937
790000000th iteration: 3348 47672280 35206761 36340641
800000000th iteration: 309641632 314474152 43957681 119810425
810000000th iteration: 227165236 179564248 161187001 437185
820000000th iteration: 96337780 44116 116663881 82488793
830000000th iteration: 113162536 938848 90472225 134707321
840000000th iteration: 26619472 40835848 34248217 468793
850000000th iteration: 248822632 114941764 25081033 257229121
860000000th iteration: 328934160 146817948 32213673 318531609
870000000th iteration: 117676 145308544 101895577 131935753
880000000th iteration: 17379132 265185456 282897153 145332609
890000000th iteration: 123228300 133422828 69155841 7754601
900000000th iteration: 81161596 16 106128673 78233545
910000000th iteration: 92990452 49492 67781641 71695225
920000000th iteration: 139944480 13066572 244439337 257991321
930000000th iteration: 69827244 1481868 43016073 61573425
940000000th iteration: 33988888 35248 24094777 32486257
950000000th iteration: 78287712 28799916 205692585 202510377
960000000th iteration: 16906176 17362776 68535729 68535009
970000000th iteration: 137251648 251571628 228534889 11572825
980000000th iteration: 99625360 177837532 9728161 183685657
990000000th iteration: 316675344 159284124 20914281 296609841
1000000000th iteration: 48168400 243079036 74379481 242388913
1010000000th iteration: 289735816 242472100 189049537 3291337
1020000000th iteration: 328139848 330206980 127371001 45694441
1030000000th iteration: 318099844 37438504 308867137 131148145
1040000000th iteration: 19560 17155488 12196713 16561329
1050000000th iteration: 203391220 334996 172567201 246016753
1060000000th iteration: 44294376 317162784 311259369 120605361
1070000000th iteration: 143406820 105598216 148409593 158641
1080000000th iteration: 117990772 119566276 18871345 42487417
1090000000th iteration: 17585440 30876076 1846081 33482473
1100000000th iteration: 189238764 135434784 184240785 117537
1110000000th iteration: 195002608 263782312 4801 271724929
1120000000th iteration: 1515448 165641632 109694041 138293929
1130000000th iteration: 204258688 610732 154998673 223686577
1140000000th iteration: 358063444 118105912 63877009 356106865
1150000000th iteration: 220939908 153677736 249294705 5296281
1160000000th iteration: 162478612 130826200 114603049 275809
