nohup: ignoring input
Running seek with root {0,0,1,1,} and ceiling 1000000000
Time: Tue Apr 21 13:25:33 2015

In seek
Running fuchsian
10400000000th iteration: 2510316672 35516808 2246893809 1614697161
10500000000th iteration: 2852792964 1973498952 2605312089 8519625
10600000000th iteration: 1555027816 1612143856 1151617369 573049
10700000000th iteration: 169424728 1639411120 752289721 1702245601
10800000000th iteration: 1993548352 2879488024 6921241 2457820633
10900000000th iteration: 2198362132 1092397684 191342353 2321081281
11000000000th iteration: 1792035112 1732720420 801458617 174245761
11100000000th iteration: 1848370524 1011067116 124566081 1985789889
11200000000th iteration: 1240232292 62248872 1167248385 672184161
11300000000th iteration: 775881016 3662390356 1065631009 3665450209
11400000000th iteration: 122937396 2841144324 2570018649 1568763441
11500000000th iteration: 3197635324 462984400 3258499057 1227138049
11600000000th iteration: 994385944 1167405568 801205585 4269313
11700000000th iteration: 423323148 2318729916 760359585 2334355521
11800000000th iteration: 1058339340 1014760224 748240689 1720017
11900000000th iteration: 69241060 1014692296 506327953 954177121
12000000000th iteration: 568536904 408268240 234577 556264609
12100000000th iteration: 924992896 3204114028 683160097 3198019129
12200000000th iteration: 27325876 1741189048 1504742017 1105331209
12300000000th iteration: 1469898688 739997452 1370245729 96095881
12400000000th iteration: 1976603764 2022309688 1 2664634897
12500000000th iteration: 25237360 1905566104 1233167809 1712612857
12600000000th iteration: 1238609224 3678724 1760109721 1413973321
12700000000th iteration: 222905988 1754627016 726458985 1801996281
12800000000th iteration: 1012929544 115935268 1815331441 1961522497
12900000000th iteration: 2659164948 357244536 1030472289 2601318177
13000000000th iteration: 2429458876 8682736 1960366609 2844806089
13100000000th iteration: 1137048412 2691997264 2607928825 299874529
13200000000th iteration: 383695756 1072558588 2739295705 2797003321
13300000000th iteration: 2747262604 1149226684 313055617 2664667825
13400000000th iteration: 2770396636 254029744 1282265569 2727591241
13500000000th iteration: 767841828 39468372 416223537 731949993
13600000000th iteration: 388038828 2828219340 1115670273 2874757449
13700000000th iteration: 1584709564 42772912 2149815481 2517071593
13800000000th iteration: 704248644 1174585332 1291832313 59710161
13900000000th iteration: 1025948092 1466314108 33849169 1657046281
14000000000th iteration: 1380832104 3749988 1237843545 1747501473
14100000000th iteration: 1864978252 2584105132 43930993 2919840793
14200000000th iteration: 1155769368 1629046704 1292768913 2804025
14300000000th iteration: 379556640 2525977512 2568445257 947199681
14400000000th iteration: 2568538732 140351008 2465508817 1376337313
14500000000th iteration: 1778212 345078484 396400249 495504385
14600000000th iteration: 132485812 813560836 1699075849 1602759553
14700000000th iteration: 264893944 2215217812 928385665 2225735809
14800000000th iteration: 3189562036 592610884 1028872633 3196903297
14900000000th iteration: 1651160508 1509884496 1113222489 11647257
15000000000th iteration: 98590336 1521685228 2395230505 2676716761
15100000000th iteration: 639386608 454154236 4225 525046201
15200000000th iteration: 26654316 1780877772 1518849105 1135039497
15300000000th iteration: 2259667968 2285179788 1243599465 125238369
15400000000th iteration: 1581670792 2479367440 36751729 2100857809
15500000000th iteration: 126144 640714284 461768385 630152217
15600000000th iteration: 15239172 826536 15901833 8619009
15700000000th iteration: 504451696 595557244 2295721 727317049
15800000000th iteration: 1179498256 5994040 869246953 1264853281
15900000000th iteration: 1014745656 48179040 1122276801 620633073
16000000000th iteration: 57978364 6051952 25115185 55845769
16100000000th iteration: 1610076504 1173114048 32372241 1866443457
16200000000th iteration: 3001557412 3012185800 1100922649 459657169
16300000000th iteration: 27693700 209216584 417369457 389150089
16400000000th iteration: 1198843008 173630220 2287016073 2437080009
16500000000th iteration: 1894926204 696670608 1864260153 281626425
16600000000th iteration: 2462770440 1895301648 2684250993 113409
16700000000th iteration: 2757362092 1664210368 2423429929 68397361
16800000000th iteration: 2146483824 2654277144 1895407785 177
16900000000th iteration: 1212180412 1349405392 873343945 17828641
17000000000th iteration: 1064500 1504850584 1620276889 2078762857
17100000000th iteration: 69151728 1179016728 649978977 1220099097
17200000000th iteration: 658745736 36345060 345670881 606312753
17300000000th iteration: 2448912856 1600411252 2210797465 28743937
17400000000th iteration: 2693896684 40049344 1717996777 2292151825
17500000000th iteration: 157637248 239984332 2499841 199839529
17600000000th iteration: 2904048 1128600936 1529697801 1599817545
17700000000th iteration: 2401833088 746130904 466296265 2393349433
17800000000th iteration: 512884 2828251540 1989160657 2538863089
17900000000th iteration: 1411337224 727914340 1338772993 87185833
18000000000th iteration: 900527604 40950420 1326187089 1511232657
18100000000th iteration: 1268805576 2459913552 152084817 2334813345
18200000000th iteration: 1642213716 1673340696 905134065 92331393
18300000000th iteration: 2736377328 161787624 1412532345 2530645113
18400000000th iteration: 53855548 859007728 441000097 814019257
18500000000th iteration: 52287100 229470268 229594273 62674969
18600000000th iteration: 4016164 733013476 973788097 1064763313
18700000000th iteration: 1530106644 2618777976 2321750577 81507153
18800000000th iteration: 707523076 8114152 867612169 1055290153
18900000000th iteration: 1947472216 1068160 2037068617 1449009097
19000000000th iteration: 983944720 916077916 4768393 675456241
19100000000th iteration: 919264 1249293772 1721218729 1335519865
19200000000th iteration: 882514924 223084096 882505849 218182441
19300000000th iteration: 955763832 172116 984750345 705926097
19400000000th iteration: 1176617556 34263012 1343434905 807296337
19500000000th iteration: 998195812 667189672 826746601 7932505
19600000000th iteration: 84527872 2264160844 1473734305 2548277809
19700000000th iteration: 611470924 1899269164 1910263201 355307401
19800000000th iteration: 1286949448 401956 1774205881 1384347385
19900000000th iteration: 1431700396 1088908 1949364145 1997601481
20000000000th iteration: 1335154560 314504556 1334780937 353452857
20100000000th iteration: 657769512 604820964 346146825 35835729
20200000000th iteration: 2335188736 71278600 1576183657 2640116017
20300000000th iteration: 22603176 399628704 383807889 212331321
20400000000th iteration: 164708940 1179066336 2225561097 2379042417
20500000000th iteration: 1518546340 377188 1270133233 1071517249
20600000000th iteration: 13217404 1621418044 2376545761 2197952281
20700000000th iteration: 2435185632 1135172076 2445300849 226921593
20800000000th iteration: 2701600564 484747096 2691482257 888797233
20900000000th iteration: 950182548 1142521188 752026209 11573145
21000000000th iteration: 1436464944 1316046780 74488329 764284017
21100000000th iteration: 357836308 1212193432 1209071689 251385121
21200000000th iteration: 2997013548 2708482716 127906065 1659190401
21300000000th iteration: 1386067348 1712463844 1213963633 1444585
21400000000th iteration: 1887445624 1352979124 837601 1839701641
21500000000th iteration: 535824036 56710920 967467537 1007240697
21600000000th iteration: 84841032 1475903268 2269856097 2552445873
21700000000th iteration: 208255740 662125776 127706121 665389833
21800000000th iteration: 844396972 2036239756 2081006473 255772849
21900000000th iteration: 813900112 2223718408 2244042937 344343913
22000000000th iteration: 1464334452 16789272 1162153185 1758954201
22100000000th iteration: 84686820 1927805448 2140243401 1202133801
22200000000th iteration: 2364287224 2016785104 3752881 1646638681
22300000000th iteration: 2785627120 393334588 2735341201 1053230161
22400000000th iteration: 3422811508 3460091704 1327489633 480546865
22500000000th iteration: 1661612704 1938909304 29547361 1233805921
22600000000th iteration: 282810556 16 241619113 341071585
22700000000th iteration: 2923717444 163358440 1569868849 2847703897
22800000000th iteration: 752896116 2096600148 2123969961 336674745
22900000000th iteration: 1013733772 946790464 62521585 519375649
23000000000th iteration: 865305964 490728640 2659610593 2676605593
23100000000th iteration: 1036270824 1852256928 1669481625 74827713
23200000000th iteration: 1929675916 169050880 890301337 1835347057
23300000000th iteration: 949347328 371868808 969310657 132866137
23400000000th iteration: 49697208 533169396 994094625 908658801
23500000000th iteration: 2773858308 2865004776 1203277929 322859337
23600000000th iteration: 1159269024 2542408908 267613545 2644014513
23700000000th iteration: 3065293360 3002745448 287807569 1401320113
23800000000th iteration: 2761754356 1619445268 141978721 2969143825
23900000000th iteration: 1718087080 2307051556 58561 1742646073
24000000000th iteration: 1783312 1124513992 1361712985 955820521
24100000000th iteration: 10080 1099307448 1403731569 1018043793
24200000000th iteration: 1567153312 2162890744 808705 1686909169
24300000000th iteration: 130168552 113776 91027177 112644985
24400000000th iteration: 1668272256 989128200 83893401 1806574113
24500000000th iteration: 2407232988 13877676 2625518889 1790918697
24600000000th iteration: 1278640720 66232 900297121 1094646937
24700000000th iteration: 72999196 1055633296 1118931025 566724553
24800000000th iteration: 1037810452 1063547416 133435849 426339433
24900000000th iteration: 1621126888 1548811312 758490241 137612209
25000000000th iteration: 624179124 758820312 25929 538594905
25100000000th iteration: 773006896 1854063004 1842833569 220421521
25200000000th iteration: 1939828476 1429720764 2018222913 2924697
25300000000th iteration: 509098168 984455248 60414625 935444569
25400000000th iteration: 35500552 140900176 329495257 317858425
25500000000th iteration: 15076344 2743799700 1872284937 2236633689
25600000000th iteration: 813877416 134724 1063547289 782598681
25700000000th iteration: 548160412 60328492 568850881 244787425
25800000000th iteration: 1021154544 786462744 1113871545 28737
25900000000th iteration: 748618656 1803688524 1842461889 225982041
26000000000th iteration: 1226140588 1239969676 447699721 191181745
26100000000th iteration: 2290449712 19804504 2754745129 1849819825
26200000000th iteration: 42991896 72121620 1953921 63419433
26300000000th iteration: 327326752 539588140 12975481 476871217
26400000000th iteration: 3048623344 1373369704 293337241 2962478521
26500000000th iteration: 980309920 2219187448 2128647169 219847153
26600000000th iteration: 2235952704 1238700 1914814257 2709365169
26700000000th iteration: 1672365544 1116064 1300625281 1853669401
26800000000th iteration: 573058404 404498952 14209113 659061081
26900000000th iteration: 6007516 336768784 392823937 249890113
27000000000th iteration: 1905680044 890644480 1950599593 182926393
27100000000th iteration: 28 2037731632 1892319337 1442715433
27200000000th iteration: 1524859152 2812654536 2712618537 147992985
27300000000th iteration: 995660596 1423841284 1239438577 1207993
27400000000th iteration: 2128937832 1502870148 2099073 2005275177
27500000000th iteration: 2465276964 2705250984 6050601 1880007441
27600000000th iteration: 1804883500 529491724 1801251889 377393257
27700000000th iteration: 859318092 640068288 4520697 935238993
27800000000th iteration: 288990156 1502553600 3131260281 3251836593
27900000000th iteration: 2238413572 2187117316 207088369 1027531393
28000000000th iteration: 1228864300 2747878348 2640509689 264813073
28100000000th iteration: 2002564828 935442412 170922337 1914509953
