Running seek with root {-6,11,14,15,} and ceiling 1000000000
Time: Sun Apr 19 20:21:14 2015

In seek
Running fuchsian
100000000th iteration: 1060197602 1958063531 1791566702 94133375
200000000th iteration: 2496793586 2945676443 1879093466 43674335
300000000th iteration: 877582442 1481466635 1608750242 75600191
400000000th iteration: 45588782 1404811499 1956664418 2271281951
500000000th iteration: 1321666418 1313252939 427445150 242174903
600000000th iteration: 984521198 349864427 155374286 971543039
700000000th iteration: 1415684486 1924929683 34708886 2228545415
800000000th iteration: 2479664834 46656707 2866725134 1813612055
900000000th iteration: 3200584194 1008018171 615738798 3214317687
1000000000th iteration: 324383358 69663075 722020686 699772911
1100000000th iteration: 166488854 1945149515 2056751162 973489199
1200000000th iteration: 1601225426 276219203 542046602 1598089919
1300000000th iteration: 1144771358 80067203 2036546942 1831080167
1400000000th iteration: 81796746 1823596731 1002844038 1668654615
1500000000th iteration: 162521058 115670235 3971118 188096679
1600000000th iteration: 584405166 1159322547 3394913310 3417761487
1700000000th iteration: 506797694 83205059 177962702 508324175
1800000000th iteration: 2904654 1702750707 1351346574 1208181495
1900000000th iteration: 165788330 1381153523 1420325234 588454703
2000000000th iteration: 2308339370 2028878483 57238706 1393279871
2100000000th iteration: 2693009114 331808651 2772053366 1134024359
2200000000th iteration: 2266669590 2883931323 2087267514 9183
2300000000th iteration: 245453634 346104627 388433646 6625143
2400000000th iteration: 15142106 1344961859 1067722178 1614382607
2500000000th iteration: 2665227282 2136815547 9279978 1856186823
2600000000th iteration: 1942863458 1963090475 754784474 271742903
2700000000th iteration: 120611994 380619 113804982 84002535
2800000000th iteration: 1332881702 937673219 15014 1160754335
2900000000th iteration: 1904172254 96416675 1026988094 1780268807
3000000000th iteration: 376279022 80331155 375919982 108604631
3100000000th iteration: 376839830 2196963059 2218440794 753987647
3200000000th iteration: 96477306 2112864531 2333485218 1301110575
3300000000th iteration: 2479850 1936878683 2337032546 1642121951
3400000000th iteration: 560547606 1998828075 1996926042 441355167
3500000000th iteration: 672287166 1231304427 57567102 1133089695
3600000000th iteration: 1253247390 284540451 2741214258 2839781871
3700000000th iteration: 18665946 2569104027 2159797362 1721843055
3800000000th iteration: 200435886 2728714131 1450052610 2919468303
3900000000th iteration: 3121207002 225188163 1529118006 2928380679
4000000000th iteration: 2260787774 2356833179 233343086 1041401351
4100000000th iteration: 2995676202 3146029107 280461570 1442916231
4200000000th iteration: 690036054 818710563 184506 977698527
4300000000th iteration: 521650926 2154149787 2154192654 555658383
4400000000th iteration: 2857239114 2683927995 205773954 1401382767
4500000000th iteration: 2064045222 12544347 2990213130 2421847911
4600000000th iteration: 1351114478 1445944595 70636526 786246071
4700000000th iteration: 630910854 203757387 1590947658 1551753351
4800000000th iteration: 1464460370 1332074147 1860554906 2099687
4900000000th iteration: 2618157942 2903761923 1896109398 34367967
5000000000th iteration: 109273494 345970083 66070470 346411143
5100000000th iteration: 2197422438 2042595699 11499690 1504194063
5200000000th iteration: 1721348558 1120040291 1937159630 64354151
5300000000th iteration: 1303816658 5375699 1766657930 1867175423
5400000000th iteration: 1424243318 4509779 1135428758 996559055
5500000000th iteration: 782475834 921844947 5591154 1139360535
5600000000th iteration: 653763794 2112815651 416019914 2121732431
5700000000th iteration: 665561298 955137531 1760106 870807735
5800000000th iteration: 141884030 1673774939 783398834 1598667767
5900000000th iteration: 2395051754 2707066403 79137458 1596956495
6000000000th iteration: 266532110 79370627 636798914 655131119
6100000000th iteration: 132660006 2331859491 2390477418 1286822655
6200000000th iteration: 199703490 2147157843 2188260714 1012461063
6300000000th iteration: 2145503450 1301398787 104800022 2367079631
6400000000th iteration: 1621247814 133875 1161821418 1297794303
6500000000th iteration: 143425346 515405795 1208146382 1236419567
6600000000th iteration: 480521090 229067963 503527418 46001639
6700000000th iteration: 624652178 121014059 1302110570 1356186503
6800000000th iteration: 195874962 26886363 75088542 191838903
6900000000th iteration: 410123906 484627019 1787425658 1786399367
7000000000th iteration: 2475482366 1711336211 6353810 2120674943
7100000000th iteration: 1459835702 1084965059 1704716090 25925519
7200000000th iteration: 571571666 428580299 2680766 624565559
7300000000th iteration: 112939574 1965554219 2140463066 1134938351
7400000000th iteration: 2687446850 1267101131 252384878 2751968711
7500000000th iteration: 39108050 54753827 41882 53164151
7600000000th iteration: 310247594 2296557299 2347108226 917576471
7700000000th iteration: 1476296022 417869955 1474244022 322344111
7800000000th iteration: 697084946 746845427 2887288190 2887003847
7900000000th iteration: 176191470 988029219 995975598 329754423
8000000000th iteration: 520793574 332231115 441593862 7718919
8100000000th iteration: 16198242 99295443 100513422 35282223
8200000000th iteration: 67408034 1291665515 1189074734 687373847
8300000000th iteration: 3238250 860848739 755523302 1078757279
8400000000th iteration: 18715218 114416187 39803514 113105631
8500000000th iteration: 2962472690 1096999547 454013246 3008984927
8600000000th iteration: 90402246 16434699 184743594 193288671
8700000000th iteration: 1382392230 1095650403 1650055818 14346159
8800000000th iteration: 400277094 601943883 681811818 20499015
8900000000th iteration: 713190 2107467507 1894902966 1480842327
9000000000th iteration: 3300108566 3272799179 505544186 1198874759
9100000000th iteration: 2659171302 2869495827 1567679526 135351855
9200000000th iteration: 16651338 1509473067 1857075522 2248780143
9300000000th iteration: 700880306 1259689643 81228362 1360760039
9400000000th iteration: 1847327174 1676664515 1010421098 83905103
9500000000th iteration: 2550137814 98403 1794112218 2207841975
9600000000th iteration: 2095797038 966796475 2184991694 215587583
9700000000th iteration: 642688266 897267459 920934 706861551
9800000000th iteration: 1670962562 46725731 2662007018 2293486439
9900000000th iteration: 39196530 950565051 1574036682 1392738327
10000000000th iteration: 3509481114 1221985107 3544950930 589163319
10100000000th iteration: 3108288158 1138780355 3072903314 467583263
10200000000th iteration: 359965070 356854883 196469774 19614263
10300000000th iteration: 2159757110 195221123 2274192854 1056315503
