Running seek with root {0,0,1,1,} and ceiling 10000000
Time: Sat Apr 18 16:30:45 2015

In seek
Running fuchsian
130000000th iteration: 2878300 14202796 30434761 30851113
131000000th iteration: 10761712 7728616 10488313 1609
132000000th iteration: 23664168 1294404 24474705 13269633
133000000th iteration: 11360956 146572 10175665 7362817
134000000th iteration: 16652964 1566804 28810425 30926337
135000000th iteration: 8527360 11545324 2473 11899633
136000000th iteration: 2116 5945668 6809569 8364097
137000000th iteration: 5128852 2420056 477505 5234377
138000000th iteration: 7880800 12202444 163417 10892809
139000000th iteration: 5677788 5718876 1027497 1874289
140000000th iteration: 12284704 214696 14438569 9207841
141000000th iteration: 181752 15351648 18483417 12192153
142000000th iteration: 23132904 22133124 10587921 2087961
143000000th iteration: 10175124 8711256 7146897 3873
144000000th iteration: 4532488 2118052 386713 4335217
145000000th iteration: 6694248 6684420 1902441 1454721
146000000th iteration: 28 21006256 20326801 27527545
147000000th iteration: 1445400 30713076 16779153 28422441
148000000th iteration: 11600332 1594924 23328793 21798001
149000000th iteration: 23859612 28468908 196113 19136097
150000000th iteration: 5517772 18104428 3632329 18168721
151000000th iteration: 2173528 200884 2148673 1005625
152000000th iteration: 28995232 28873708 5552833 9095497
153000000th iteration: 150264 5611536 8875809 7897881
154000000th iteration: 32592948 31492824 14612913 3146505
155000000th iteration: 5680752 2913000 16849881 16763577
156000000th iteration: 15888904 10737508 17968705 481873
157000000th iteration: 8052 3248772 3825945 4641441
158000000th iteration: 15178788 7063716 14587209 1319337
159000000th iteration: 7447356 478416 7039089 3792249
160000000th iteration: 3323764 1369816 425449 3410161
161000000th iteration: 11876560 1421116 5081041 12252313
162000000th iteration: 795712 12534796 6840073 13156969
163000000th iteration: 9244996 2516776 22106929 21417889
164000000th iteration: 1259860 15147256 25150537 27698257
165000000th iteration: 11094312 2485488 25107873 24082257
166000000th iteration: 25356168 18007248 626985 29325609
167000000th iteration: 24134188 1653568 22671097 12022177
168000000th iteration: 30597472 29000872 1882993 15791593
169000000th iteration: 7268344 1972 5109265 6223489
170000000th iteration: 32398840 10471636 32198521 5943073
171000000th iteration: 24059848 1261444 13947985 25649713
172000000th iteration: 18025644 959904 19210617 10409265
173000000th iteration: 22474672 525544 15670849 25346065
174000000th iteration: 12188188 637468 6498889 11294065
175000000th iteration: 23130052 19924648 14491057 413473
176000000th iteration: 17981848 20351476 11995609 597217
177000000th iteration: 26355120 10522716 3563097 26925777
178000000th iteration: 28065984 1767960 15331353 29419593
179000000th iteration: 2959432 22074448 8867041 22596529
180000000th iteration: 8426952 4571556 461913 8288529
181000000th iteration: 1432512 7343820 15316569 15989169
182000000th iteration: 15684796 29893756 28625233 1763785
183000000th iteration: 11017360 6246844 11949217 670609
184000000th iteration: 19591264 25607224 27768721 8401
185000000th iteration: 23279976 25648260 16938033 260961
186000000th iteration: 24233164 15369964 385177 21044065
187000000th iteration: 1482052 25240948 13969633 26268937
